epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.416,2.07158,3.66856,2.02824,0.59487,0.62821,0.67921,0.30567,1.67343,3.2829,1.52918,0.000656863,0.000656863,0.000656863
2,246.036,1.76641,2.44367,1.78822,0.58006,0.54487,0.50925,0.19276,1.90577,2.98827,1.9859,0.0011925,0.0011925,0.0011925
3,360.472,1.79226,2.14602,1.73773,0.57671,0.7511,0.65701,0.30216,1.74801,2.14628,1.72354,0.00159614,0.00159614,0.00159614
4,475.368,1.73434,1.75955,1.68725,0.81918,0.78205,0.86159,0.43042,1.64167,1.76081,1.68177,0.001406,0.001406,0.001406
5,589.561,1.65232,1.55898,1.6104,0.90488,0.87179,0.95766,0.50066,1.59193,1.38215,1.56166,0.001208,0.001208,0.001208
6,704.404,1.64165,1.3876,1.55618,0.84992,0.96154,0.91684,0.51006,1.48471,1.50076,1.4762,0.00101,0.00101,0.00101
7,818.823,1.53676,1.26906,1.50315,0.94187,0.93472,0.96793,0.54949,1.47209,1.19345,1.49176,0.000812,0.000812,0.000812
8,933.343,1.5045,1.15398,1.47114,0.97946,0.96154,0.98808,0.56206,1.44478,1.03746,1.47427,0.000614,0.000614,0.000614
9,1047.86,1.46368,1.0766,1.425,0.97075,0.99359,0.99423,0.57182,1.42383,0.98609,1.45625,0.000416,0.000416,0.000416
10,1162.25,1.4617,1.01884,1.40768,0.98718,0.98718,0.99468,0.57602,1.45875,0.93725,1.45634,0.000218,0.000218,0.000218
